Afro-Asiatic khaki3
Algic cyan2
Altaic thistle1
Arawakan purple3
Australian gold2
Austronesian+Western orangered
CAN_USA+Other cyan4
Caucasian thistle3
EastAsia+Other red3
Indo-European+Celtic greenyellow
Indo-European+Germanic green1
Indo-European+Indo-Iranian green4
Indo-European+Italic green2
Indo-European+Other mediumspringgreen
Indo-European+Slavic green3
Khoisan lemonchiffon
Mayan dodgerblue2
Mexico+Other dodgerblue4
Na-Dene cyan3
Niger-Congo+Bantoid khaki1
Niger-Congo+Other khaki2
Nilo-Saharan khaki4
Other gray88
Oto-Manguean dodgerblue1
PNG_AUS+Other gold3
Quechuan purple2
Russia+Other thistle4
Salishan cyan1
SAmerica+Other purple1
Sino-Tibetan red1
Trans-New_Guinea gold1
Tucanoan purple4
Uralic thistle2
Uto-Aztecan dodgerblue3
